STATE,VE_TOTAL,PEDS,PERSONS,COUNTY,MONTH,DAY_WEEK,TWAY_ID,SCH_BUS,RAIL,FATALS,DRUNK_DR
1,1,0,2,29,6,7,CR-66,0,0,2,1
1,1,0,2,85,6,1,SR-21,0,0,1,1
1,1,0,1,51,6,1,CR-LITTLE STEEL BRIDGE RD,0,0,1,1
1,2,0,5,119,6,1,I-59,0,0,2,0
1,1,0,1,73,6,1,CAHABA RIVER ESTATES,0,0,1,0
1,1,0,1,27,6,7,SR-77,0,0,1,1
1,1,0,1,127,6,1,CR-6,0,0,1,0
1,2,0,4,73,6,5,SR-79,0,0,1,0
1,3,0,5,73,6,1,SR-119,0,0,3,1
1,1,0,1,73,6,7,I-65,0,0,1,0
1,2,0,4,21,4,6,CR-42 E,0,0,1,1
1,1,0,1,103,5,5,SR-36,0,0,1,1
1,2,0,2,93,6,7,SR-118,0,0,1,0
1,1,0,2,49,7,2,SR-75,0,0,2,0
1,1,0,3,19,5,6,CR-31,0,0,3,0
1,1,0,1,73,5,6,CLUB DR,0,0,1,0
1,1,1,1,125,5,2,US-SR 6,0,0,1,0
1,1,0,2,55,5,5,I-759,0,0,1,0
1,3,0,7,43,6,2,US-SR 74,0,0,1,0
1,1,0,2,35,6,5,I-65,0,0,1,0
1,1,0,2,77,6,6,SR-20,0,0,2,0
1,2,0,2,5,6,7,US-SR 1,0,0,1,0
1,2,0,2,3,6,7,I-10,0,0,1,0
1,2,0,3,103,6,3,SR-67,0,0,1,0
1,2,0,5,83,6,3,I-65,0,0,1,0
1,1,0,3,5,6,5,SR-30,0,0,1,0
1,2,0,6,109,6,6,SR-93,0,0,2,0
1,1,0,1,119,6,7,CR-21,0,0,1,0
1,1,0,2,107,6,1,CR-59,0,0,1,1
1,3,0,6,97,6,7,US-SR 42,0,0,1,0
1,2,0,2,73,6,2,US-SR PARKWAY DR,0,0,1,0
1,2,0,2,103,6,3,US-SR 53,0,0,1,0
1,1,0,2,69,6,3,US-SR 231,0,0,1,0
1,2,0,2,63,6,5,I-20,0,0,1,0
1,1,0,2,51,6,1,CR-BUYKE RD,0,0,2,1
1,1,0,1,127,7,2,CR-CEDAR LAKE RD,0,0,1,1
1,1,0,1,55,7,3,US-SR 74,0,0,1,0
1,1,0,1,71,7,4,SR-73,0,0,1,0
1,1,0,1,111,7,5,US-SR 1,0,0,1,0
1,2,1,3,81,7,1,I-85,0,0,1,0
1,1,1,1,97,6,6,I-65,0,0,1,0
1,3,0,3,103,6,4,SR-67,0,0,1,0
1,3,0,3,73,6,1,I-65,0,0,1,0
1,2,0,7,59,6,1,SR-24,0,0,1,0
1,1,0,1,133,7,2,CR-41,0,0,1,1
1,2,0,2,123,7,5,SR-14,0,0,1,0
1,2,0,3,25,7,2,SR-69,0,0,1,0
1,1,0,1,85,7,4,CR-MARY JACKSON RD,0,0,1,1
1,1,1,1,3,7,7,SR-182,0,0,1,1
1,1,0,1,101,7,1,CR-15,0,0,1,1
1,1,0,1,93,7,2,SR-19,0,0,1,0
1,1,0,1,75,7,4,SR-17,0,0,1,1
1,1,0,1,97,7,4,CR-IRVINGTON BAYOU LA BATRE RD,0,0,1,0
1,1,0,1,97,7,5,I-10,0,0,1,0
1,2,0,2,81,7,7,SR-38,0,0,1,0
1,2,0,2,97,6,3,SR-193,0,0,1,0
1,1,0,1,87,7,1,US-SR 8,0,0,1,1
1,2,0,3,97,6,6,CR-PADGETT SWITCH RD,0,0,1,0
1,1,0,1,21,7,1,CR-37,0,0,1,1
1,1,0,2,53,7,2,US-SR 3,0,0,1,1
1,1,0,1,101,7,3,OLD SELMA RD,0,0,1,1
1,1,0,1,121,7,3,CR-175,0,0,1,0
1,1,0,1,3,7,5,SR-181,0,0,1,0
1,2,0,13,95,7,1,US-SR 1,0,0,4,0
1,1,0,3,43,7,1,I-65,0,0,1,0
1,1,0,2,69,7,3,US-SR 1,0,0,2,0
1,1,0,1,17,7,3,CR-25,0,0,1,1
1,1,0,2,51,7,4,CR-FERN RD,0,0,1,0
